,,LAS PALMERAS GROUPALMERAS S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Registro de cierre de ventas diarias por local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FORMAS DE PAGO,,,,,,,,,GASTOS,,,,,,,,,,,,,,CORTESIAS,,,,,
Local,Fecha,"Venta 
Total",Datafast,Medianet,Uber,Pedidos Ya,Rappic,Cheques,Transferencias,Retenciones,Efectivo,Compras,"Pago 
D¡as Libres",Eventuales,Sueldos,Anticipos,Prestamos,Transporte,C. Empleados,Mantenimientos,Otros,Total Gastos,"Deposito
1","Deposito
2","Diferencia 
en depositos",Empleados,Gerencia,Cumplea¤eros,Promociones,"Total 
Cortesias",POR
5,10-03-22,372.94,,118.47,44.91,,15.83,,,,193.73,,,20.00,,,,,,,,20.00,147.23,26.50,0.00,,,,,0.00,SDS
6,01-03-22,830.55,,349.99,29.92,54.94,,,,,395.70,12.73,,,,,,,,,,12.73,382.97,,0.00,,,,116.60,116.60,SDS
6,02-03-22,418.95,,133.86,,,,,,,285.09,11.08,,100.00,,,,,,,10.00,121.08,164.01,,0.00,,,,34.00,34.00,SDS
6,03-03-22,504.34,,177.23,19.37,,,,,,307.74,13.96,,,,,,,,,,13.96,293.78,,0.00,,,,63.20,63.20,SDS
6,04-03-22,483.06,,186.83,20.71,,,,,,275.52,24.87,,,,,,,,,,24.87,250.81,,-0.16,,,,21.40,21.40,SDS
6,05-03-22,1190.07,,510.27,16.46,,13.85,,,,649.49,2.50,,,646.99,,,,,,,649.49,,,0.00,,,,117.60,117.60,SDS
6,06-03-22,1107.68,,383.26,172.26,,30.67,,,,521.49,,,,214.15,,,23.00,,,5.00,242.15,279.34,,0.00,,,,108.60,108.60,SDS
6,07-03-22,333.52,,135.93,9.96,,5.48,,,,182.15,7.69,,,,,,,,,,7.69,174.46,,0.00,,,,61.20,61.20,SDS
6,08-03-22,604.39,,184.23,7.45,26.17,30.81,,,,355.73,,,,,,,,,,,0.00,355.73,,0.00,,,,42.80,42.80,SDS
6,09-03-22,446.10,,206.53,,9.96,,,,,229.61,,,,,,,,,32.00,,32.00,197.61,,0.00,,,,88.40,88.40,SDS
6,10-03-22,413.76,,143.80,25.19,,,,,,244.77,,,,,7.62,,,,,,7.62,237.15,,0.00,,,,63.20,63.20,SDS
1,01-03-22,1829.90,,1378.44,86.20,,,,,,365.26,11.23,70.00,20.00,,,,,,,,101.23,264.03,,0.00,,,,,0.00,SDS
1,02-03-22,1023.11,,502.37,85.99,4.98,,,,,429.77,,,20.00,,,,,,,,20.00,409.77,,0.00,,,18.00,,18.00,SDS
1,03-03-22,494.80,,270.37,,,10.08,,,,214.35,12.08,,,,18.15,,,,,20.16,50.39,163.96,,0.00,,,8.40,,8.40,SDS
1,04-03-22,1248.90,103.99,646.23,57.09,20.71,,,,,420.88,20.00,,,,,,,,,,20.00,400.88,,0.00,,,8.60,,8.60,SDS
1,05-03-22,1817.25,,1015.64,23.23,23.46,,,,,754.92,,,,754.92,,,,,,,754.92,,,0.00,,,16.00,,16.00,SDS
